date,ticker,score
2022-03-31,RNG,0.04249731355388717
2022-03-31,PLTR,0.0407227558521688
2022-03-31,ZS,0.03765603790544348
2022-03-31,MDB,0.033328444031583145
2022-03-31,ESTC,0.03295646787590584
2022-03-31,NET,0.0310714262745904
2022-03-31,TTD,0.027773529914416836
2022-03-31,TEAM,0.027585711889664726
2022-03-31,ASAN,0.026824880504326017
2022-03-31,W,0.025317097701365334
2022-03-31,DOCU,0.024568273718807425
2022-03-31,SPLK,0.02348293012918272
2022-03-31,CRWD,0.021946882708170357
2022-03-31,SNAP,0.021311963917444634
2022-03-31,SE17023,0.017796662500788256
2022-03-31,CSGP,0.0174769168810624
2022-03-31,TSLA,0.016093200553539702
2022-03-31,YUM,0.015915330477918866
2022-03-31,PODD,0.015622462333668933
2022-03-31,PANW,0.01421918862237854
2022-03-31,PBR,0.013845256089686583
2022-03-31,BBWI,0.013702644905022888
2022-03-31,NVDA,0.013304437283228757
2022-03-31,DELL18267,0.012808333339531233
2022-03-31,HPQ,0.01280011966231845
2022-03-31,HCA12622,0.012762897001928477
2022-03-31,IT,0.012530924300416753
2022-03-31,OTIS,0.012514019702466508
2022-03-31,CAR,0.012243689321558143
2022-03-31,AAL,0.012119393782554966
2022-03-31,MTCH,0.012013515253341385
2022-03-31,MAS,0.011863548596796633
2022-03-31,VALE,0.011775221506805699
2022-03-31,LAD,0.011527662713150704
2022-03-31,DPZ,0.011472339691405943
2022-03-31,OLN,0.011346109574920875
2022-03-31,GDDY,0.011263328730592728
2022-03-31,DKS,0.011194194881965318
2022-03-31,WIX,0.011128239997695041
2022-03-31,NVCR,0.011123857788849709
2022-03-31,CLX,0.010832482850263067
2022-03-31,KSS,0.010829614983924978
2022-03-31,ASML,0.010806926508148112
2022-03-31,LYB,0.01067021596395654
2022-03-31,SMAR,0.010589216658280137
2022-03-31,CF90829,0.010373168593201046
2022-03-31,FIVN,0.010311288395257762
2022-03-31,NVAX,0.010117246312701434
2022-03-31,VMW,0.01009694795578599
2022-03-31,ZEN,0.010071869498994888
2022-03-31,KR,0.009962116634004637
2022-03-31,KMB,0.009882116816432054
2022-03-31,DBX,0.009862020527974356
2022-03-31,MO,0.009854832604211322
2022-03-31,HUBS,0.009740295057887396
2022-03-31,ENPH,0.009709749168042082
2022-03-31,STX,0.009597186252585255
